time,R01_STAGE,R02_STAGE,R03_STAGE,R04_STAGE,R01_FLOW,R02_FLOW,R03_FLOW,R04_FLOW
0.000000000000,1078.985710,1061.581000,1026.938536,993.3981984,-36.02359151,-4.453959076,-18.96350709,-169.4158645
1355673.543892,1078.985652,1061.581000,1026.924784,993.3958899,-36.01902677,-4.445657793,-18.54814756,-168.9896512
2846914.442173,1078.985460,1061.581000,1026.898299,993.3911900,-36.00386813,-4.415830227,-17.75869958,-168.1224713
4487279.430282,1078.985055,1061.581000,1026.859635,993.3840749,-35.97215866,-4.349762408,-16.63128486,-166.8121226
6291680.917202,1078.984377,1061.581000,1026.815183,993.3754933,-35.91948603,-4.234304018,-15.37229417,-165.2360164
8276522.552814,1078.983385,1061.581000,1026.768811,993.3660699,-35.84310361,-4.059928897,-14.10203591,-163.5111378
10459848.35199,1078.982691,1061.581000,1026.713301,993.3549125,-35.79235717,-3.820090828,-12.64059551,-161.4779114
12861506.73108,1078.982504,1061.581000,1026.656517,993.3432499,-35.78504838,-3.511489899,-11.21362748,-159.3626156
15503330.94808,1078.982192,1061.581000,1026.608837,993.3325251,-35.77281939,-3.134640889,-10.06953125,-157.4259936
18409337.58678,1078.981705,1061.581000,1026.560719,993.3215374,-35.75377221,-2.692296789,-8.966438841,-155.4516365
21605944.88935,1078.980993,1061.581000,1026.511191,993.3101879,-35.72590550,-2.217397171,-7.886371372,-153.4225740
25122212.92217,1078.980002,1061.581000,1026.472115,993.2998480,-35.68713246,-1.718800747,-7.074268935,-151.5822332
28990107.75828,1078.978679,1061.581000,1026.430918,993.2891386,-35.63538945,-1.153981208,-6.257857337,-149.6854825
33244792.07800,1078.976973,1061.581000,1026.388757,993.2782605,-35.56870916,-0.6710828435,-5.465668546,-147.7682089
37924944.82969,1078.974837,1061.581000,1026.345889,993.2673258,-35.48530525,-0.1521600120,-4.706487798,-145.8503302
43073112.85655,1078.972347,1060.545000,1026.336207,993.2638057,-35.38817870,0.000000000,-4.540452820,-145.2298542
48736097.68610,1078.969736,1060.545000,1026.331716,993.2652871,-35.28643843,0.000000000,-4.465092602,-145.4821194
54965380.99860,1078.967327,1060.545000,1026.332334,993.2703547,-35.19266858,0.000000000,-4.476977829,-146.3622154
61817592.64235,1078.965438,1060.545000,1026.337030,993.2775025,-35.11920817,0.000000000,-4.558453932,-147.6107000
69355025.45048,1078.964098,1061.581000,1026.339765,993.2807708,-35.06712250,-0.8211914615E-03,-4.606412815,-148.1834047
77646201.53942,1078.963122,1061.581000,1026.341247,993.2811794,-35.02921863,-0.1210871610,-4.632121715,-148.2544382
86766495.23725,1078.962347,1061.581000,1026.343669,993.2812955,-34.99912290,-0.1653977969,-4.673436791,-148.2737747
